VIN,model,year,brand,car_weight,engine,town,start_location,end_location,start_time,end_time,total_distance,city (%),highway (%),city (distance),highway (distance),fuel_type,ethanol (%),emission,behavior_cautious (%),behavior_normal (%),behavior_aggressive (%),co2_etanol_original_gas_1720_flex
9BD376AT1SYB85622,Fastback,2025,Fiat,Leve,1.0,Natal,"-5.8431156, -35.1976147","-5.8598694, -35.3560166",2025-03-19 08:12:18.210976,2025-03-19T08:40:39.210281,22.391916980680094,38.31018518518518,61.68981481481482,8.578384861811472,13.813532118868622,Etanol,98.81999999999996,2473.293,85.70601851851852,14.293981481481485,0.0,26108.973
9BD376AT1SYB85622,Fastback,2025,Fiat,Leve,1.0,Natal,"-5.8430153, -35.1974896","-5.8432094, -35.1976294",2025-04-01 09:56:48.477558,2025-04-01 10:05:59.476525,5.964185300187918,50.18115942028986,49.81884057971014,2.9928973336087923,2.9712879665791254,Etanol,98.82,1123.543,65.21739130434783,34.78260869565217,0.0,1123.54
93HGE6750CZ109392,Fit,2012,Honda,Leve,1.3,Natal,"-5.8430525, -35.1976495","-5.8431088, -35.1975424",2025-04-02 17:23:27.118909,2025-04-02 17:36:29.117875,5.98735624125406,70.62579821200511,29.37420178799489,4.228618137181986,1.7587381040720738,Etanol,0.0,962.54,66.41123882503193,33.58876117496807,0.0,949.41
9BHCP51BBRP516167,HB20,2024,Hyundai,Leve,1.0,Natal,"-5.8430008, -35.1974191","-5.8436746, -35.1981723",2025-04-01 14:23:43.457297,2025-04-01 14:33:12.456786,5.883714093959444,92.4561403508772,7.543859649122808,5.439854960555486,0.4438591334039581,Gasolina,28.135774647887327,1056.717,93.50877192982456,6.491228070175438,0.0,868.22
9BHCP51BBRP516167,HB20,2024,Hyundai,Leve,1.0,Natal,"-5.8437044, -35.1976347","-5.8436835, -35.1978883",2025-04-01 14:34:25.547982,2025-04-01 14:44:54.550504,5.825597258981425,96.66666666666669,3.3333333333333286,5.631410683682044,0.1941865752993805,Gasolina,28.01570972886762,1064.242,96.1904761904762,3.8095238095238098,0.0,873.361
9BHCP51BBRP516167,HB20,2024,Hyundai,Leve,1.0,Natal,"-5.8430242, -35.1974693","-5.8435849, -35.1976612",2025-04-01 14:56:41.981051,2025-04-01 15:06:03.980928,5.900532906017091,93.60568383658968,6.394316163410309,5.523234176680296,0.3772987293367948,Gasolina,28.08729055258468,1023.117,41.74067495559503,56.48312611012434,1.7761989342806392,775.883
9BHCP51BBRP516167,HB20,2024,Hyundai,Leve,1.0,Natal,"-5.8431265, -35.1977202","-5.8431354, -35.1975579",2025-04-01 15:07:22.760961,2025-04-01 15:17:11.758678,5.931204874520339,97.28813559322032,2.711864406779668,5.770358640635042,0.1608462338852977,Gasolina,28.04317487266553,1035.644,57.79661016949152,35.932203389830505,6.271186440677965,736.739
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8431967, -35.1976216","-5.8430684, -35.1975784",2025-01-31 14:38:09.713500,2025-01-31T14:48:21.712986,5.96597876412231,94.86404833836858,5.135951661631424,5.659568978653793,0.3064097854685176,Gasolina,26.270000000000007,1129.215,66.76737160120845,27.64350453172205,5.589123867069486,805.57
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8430191, -35.1975924","-5.8432541, -35.1975322",2025-01-31 14:50:01.737656,2025-01-31T14:59:46.737835,5.972692620125499,97.8819969742814,2.1180030257186075,5.846190809714368,0.12650181041113,Gasolina,26.396443768996967,1225.693,64.44780635400907,25.718608169440245,9.83358547655068,378.222
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.7469824, -35.2465772","-5.7859106, -35.2037429",2025-02-12 11:48:48.313895,2025-02-12T12:07:49.314027,11.00041584323455,92.6444833625219,7.355516637478104,10.191278425693657,0.8091374175408946,Gasolina,26.31245614035088,1975.347,40.01751313485114,45.88441330998248,14.098073555166376,1423.575
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8430126, -35.1977094","-5.8382521, -35.2097103",2025-02-13 12:01:39.215101,2025-02-13T12:04:58.215539,1.8295144121460896,89.5,10.5,1.6374153988707505,0.1920990132753394,Gasolina,26.27,397.04100000000005,66.0,22.5,11.5,883.19
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8303483, -35.2090429","-5.8432064, -35.1975858",2025-02-13 12:06:58.838890,2025-02-13T12:11:13.839301,2.755286763622109,93.4108527131783,6.589147286821699,2.5737368605927453,0.1815499030293635,Gasolina,26.270000000000003,579.445,56.58914728682171,28.294573643410853,15.11627906976744,1008.313
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.843172, -35.1975385","-5.8379924, -35.2078908",2025-02-13 12:12:41.582802,2025-02-13T12:15:38.584668,1.6243040534668185,79.56989247311827,20.430107526881727,1.292456988780049,0.3318470646867695,Gasolina,26.37434782608696,424.714,61.29032258064516,15.053763440860216,23.655913978494624,1008.21
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8432092, -35.197543","-5.8431886, -35.1975658",2025-02-13 12:20:37.053873,2025-02-13T12:29:57.052984,5.997894555749773,87.57225433526011,12.427745664739888,5.252491475121911,0.7454030806278622,Gasolina,26.437819548872184,1399.273,49.71098265895954,34.68208092485549,15.606936416184972,306.06
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8429861, -35.1976535","-5.843351, -35.1976057",2025-02-13 13:34:01.310694,2025-02-13T13:44:40.309536,5.944246277516081,96.55172413793105,3.448275862068968,5.739272267946561,0.2049740095695202,Gasolina,26.44669654289373,1399.32,94.12515964240104,4.21455938697318,1.6602809706257982,417.62
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.7492565, -35.2599453","-5.759593, -35.256926",2025-03-17 16:48:40.279547,2025-03-17T16:54:41.279929,1.9761648785053,96.96969696969695,3.030303030303031,1.9162810943081696,0.0598837841971303,Gasolina,26.32014577259476,492.3759999999999,41.32231404958678,58.40220385674931,0.2754820936639118,286.153
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.7492484, -35.2599925","-5.7484209, -35.2497185",2025-03-18 09:39:18.674855,2025-03-18T09:45:58.674832,1.4561259435760934,96.50872817955111,3.491271820448887,1.4052886288377755,0.0508373147383176,Gasolina,26.27,524.787,65.33665835411472,34.66334164588529,0.0,813.816
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.7470739, -35.2468144","-5.8429198, -35.1971244",2025-03-18 09:46:53.430441,2025-03-18T10:23:51.459906,24.48450991855015,85.56566970091028,14.434330299089725,20.95033488479324,3.5341750337569127,Gasolina,26.31460829493088,3651.682,39.01170351105331,51.27871694841786,9.709579540528829,2631.566
9BWAH5BZ6KP538191,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8429946, -35.1973918","-5.8432581, -35.1975616",2025-04-01 10:22:26.826389,2025-04-01 10:31:08.825635,5.948990280386528,79.1586998087954,20.8413001912046,4.709143357705588,1.23984692268094,Gasolina,26.359827255278308,1465.943,73.04015296367112,26.95984703632887,0.0,354.837
9BWAH5BZ6KP538191,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.843196, -35.1975245","-5.8431473, -35.1975554",2025-04-01 10:34:44.510729,2025-04-01 10:43:09.510119,5.920417141768298,81.22529644268775,18.77470355731225,4.808876374045001,1.111540767723297,Gasolina,26.573968253968264,1320.5929999999998,77.66798418972331,22.33201581027668,0.0,958.303
9BWAH5BZ4KP599863,Polo,2019,Volkswagen,Leve,1.0,Natal,"-5.8431763, -35.1976876","-5.8431998, -35.197577",2025-04-03 09:49:52.383636,2025-04-03 09:59:17.384357,5.908198733207752,90.63604240282686,9.36395759717314,5.354957509073457,0.5532412241342946,Gasolina,25.07810283687944,1082.371,65.7243816254417,23.32155477031802,10.954063604240282,1057.581
9BWBH6BF1P4017999,T-Cross,2023,Volkswagen,Leve,1.0,Natal,"-5.8432415, -35.1976632","-5.8433032, -35.1975851",2025-03-31 13:35:13.112967,2025-03-31 13:46:35.112859,5.963398789991068,91.800878477306,8.199121522694,5.474452476316837,0.4889463136742312,Gasolina,26.270000000000003,1272.01,66.03221083455344,19.1800878477306,14.78770131771596,842.66
9BWBH6BF1P4017999,T-Cross,2023,Volkswagen,Leve,1.0,Natal,"-5.8431948, -35.1976631","-5.8433194, -35.1976337",2025-04-04 10:24:02.787723,2025-04-04 10:34:32.787440,5.919840982366419,95.25316455696202,4.74683544303798,5.638835872443963,0.281005109922457,Gasolina,26.253904761904767,1148.094,50.63291139240506,33.54430379746836,15.822784810126585,1223.3
